filed_date,transaction_date,ticker,company,insider_name,insider_title,transaction_code,transaction_type,shares,price,value,acquired_disposed,accession_no
2026-08-06,2026-08-06,JCTC,JEWETT CAMERON TRADING CO LTD,"AJB Investment Fund II, LP",,P,Open-market buy,15.0,2.798,41.97,A,000153658826000024
2026-08-06,2026-08-06,JCTC,JEWETT CAMERON TRADING CO LTD,"AJB Investment Fund II, LP",,P,Open-market buy,413.0,2.805,1158.47,A,000153658826000024
2026-08-06,2026-08-06,XYZ,"Block, Inc.",Eisen Anthony Mathew,Director,S,Open-market sell,6000.0,83.07,498420.0,D,000162828026054510
2026-08-06,2026-08-06,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,56690.0,37.8859,2147751.67,D,000189511126000016
2026-08-06,2026-08-06,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,400.0,38.2713,15308.52,D,000189511126000016
2026-08-06,2026-08-06,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,57267.0,37.8883,2169749.28,D,000189510626000017
2026-08-07,2026-08-05,ZM,"Zoom Communications, Inc.",Yuan Eric S.,Chief Executive Officer,S,Open-market sell,7111.0,99.7572,709373.45,D,000158552126000113
2026-08-07,2026-08-05,ZM,"Zoom Communications, Inc.",Yuan Eric S.,Chief Executive Officer,S,Open-market sell,4167.0,100.5899,419158.11,D,000158552126000113
2026-08-07,2026-08-05,ZM,"Zoom Communications, Inc.",Yuan Eric S.,Chief Executive Officer,S,Open-market sell,754.0,101.5826,76593.28,D,000158552126000113
2026-08-07,2026-08-05,ZM,"Zoom Communications, Inc.",Yuan Eric S.,Chief Executive Officer,S,Open-market sell,68.0,102.2466,6952.77,D,000158552126000113
2026-08-07,2026-08-05,GFF,GRIFFON CORP,Harris Brian G,"EVP, Chief Financial Officer",S,Open-market sell,8817.0,103.08,908856.36,D,000162828026054913
2026-08-07,2026-08-05,GFF,GRIFFON CORP,Harris Brian G,"EVP, Chief Financial Officer",S,Open-market sell,2233.0,104.01,232254.33,D,000162828026054913
2026-08-07,2026-08-05,GFF,GRIFFON CORP,KRAMER RONALD J,Chairman of the Board and CEO,S,Open-market sell,12916.0,100.44,1297283.04,D,000162828026054912
2026-08-07,2026-08-05,GFF,GRIFFON CORP,KRAMER RONALD J,Chairman of the Board and CEO,S,Open-market sell,17322.0,101.58,1759568.76,D,000162828026054912
2026-08-07,2026-08-05,GFF,GRIFFON CORP,KRAMER RONALD J,Chairman of the Board and CEO,S,Open-market sell,45240.0,102.63,4642981.2,D,000162828026054912
2026-08-07,2026-08-05,GFF,GRIFFON CORP,KRAMER RONALD J,Chairman of the Board and CEO,S,Open-market sell,16402.0,103.37,1695474.74,D,000162828026054912
2026-08-07,2026-08-05,GFF,GRIFFON CORP,KRAMER RONALD J,Chairman of the Board and CEO,S,Open-market sell,8120.0,104.27,846672.4,D,000162828026054912
2026-08-07,2026-08-05,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,617.0,98.68,60885.56,D,000162828026054911
2026-08-07,2026-08-05,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,2283.0,99.67,227546.61,D,000162828026054911
2026-08-07,2026-08-05,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,3527.0,100.46,354322.42,D,000162828026054911
2026-08-07,2026-08-05,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,2790.0,101.44,283017.6,D,000162828026054911
2026-08-07,2026-08-05,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,5341.0,102.59,547933.19,D,000162828026054911
2026-08-07,2026-08-05,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,5434.0,103.53,562582.02,D,000162828026054911
2026-08-07,2026-08-05,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,2217.0,104.12,230834.04,D,000162828026054911
2026-08-07,2026-08-05,AGCO,AGCO CORP /DE,Tractors & Farm Equipment Ltd,,S,Open-market sell,360163.0,115.3334,41538823.34,D,000092189526001997
2026-08-07,2026-08-05,AGCO,AGCO CORP /DE,Tractors & Farm Equipment Ltd,,S,Open-market sell,132255.0,115.3334,15253418.82,D,000092189526001997
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,5682.0,60.14,341715.48,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,9692.0,61.05,591696.6,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,19481.0,61.76,1203146.56,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,13061.0,62.94,822059.34,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,8284.0,63.66,527359.44,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,153.0,60.14,9201.42,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,261.0,61.05,15934.05,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,526.0,61.76,32485.76,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,353.0,62.94,22217.82,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,223.0,63.66,14196.18,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,352.0,62.94,22154.88,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,224.0,63.66,14259.84,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,154.0,60.14,9261.56,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,262.0,61.05,15995.1,D,000187604226000250
2026-08-07,2026-08-05,CRCL,"Circle Internet Group, Inc.",Allaire Jeremy,Chairman and CEO,S,Open-market sell,525.0,61.76,32424.0,D,000187604226000250
2026-08-07,2026-08-05,RIOT,"Riot Platforms, Inc.",Werner Ryan D.,"SVP, CAO",S,Open-market sell,35430.0,21.98,778751.4,D,000193182426000017
2026-08-07,2026-08-05,RIOT,"Riot Platforms, Inc.",Werner Ryan D.,"SVP, CAO",S,Open-market sell,9802.0,22.82,223681.64,D,000193182426000017
2026-08-07,2026-08-05,RIOT,"Riot Platforms, Inc.",Werner Ryan D.,"SVP, CAO",S,Open-market sell,2501.0,23.53,58848.53,D,000193182426000017
2026-08-07,2026-08-05,RVI,Robinhood Ventures Fund I,"Robinhood Markets, Inc.",,S,Open-market sell,7163.0,27.22,194976.86,D,000178387926000122
2026-08-07,2026-08-05,RVI,Robinhood Ventures Fund I,"Robinhood Markets, Inc.",,S,Open-market sell,1015.0,28.05,28470.75,D,000178387926000122
2026-08-07,2026-08-05,HAPN,"Happen, Inc.",Sanborn Scott,CEO,S,Open-market sell,28750.0,20.5632,591192.0,D,000140997026000166
2026-08-07,2026-08-05,KLTR,KALTURA INC,Manor Eyal,Director,S,Open-market sell,112713.0,1.8996,214109.61,D,000162828026054753
2026-08-07,2026-08-05,KLTR,KALTURA INC,Manor Eyal,Director,S,Open-market sell,25430.0,2.0138,51210.93,D,000162828026054753
2026-08-07,2026-08-05,KLTR,KALTURA INC,Azaria Eynav,See Remarks,S,Open-market sell,83995.0,2.0122,169014.74,D,000162828026054750
2026-08-07,2026-08-05,KLTR,KALTURA INC,Israeli Natan,Chief Customer Officer,S,Open-market sell,196432.0,1.8227,358036.61,D,000162828026054748
2026-08-07,2026-08-05,KLTR,KALTURA INC,Israeli Natan,Chief Customer Officer,S,Open-market sell,62890.0,2.0098,126396.32,D,000162828026054748
2026-08-07,2026-08-05,CFFI,C & F FINANCIAL CORP,PEAY D ANTHONY,,S,Open-market sell,425.0,85.92,36516.0,D,000120796926000004
2026-08-07,2026-08-05,CFFI,C & F FINANCIAL CORP,CHERRY THOMAS F,PRESIDENT & CEO,S,Open-market sell,500.0,87.13,43565.0,D,000120051226000016
2026-08-07,2026-08-05,NWPP,NEW PEOPLES BANKSHARES INC,White Blaine Scott,Director,P,Open-market buy,1716.0,4.35,7464.6,A,000190359626000292
2026-08-07,2026-08-05,AUDC,AUDIOCODES LTD,Baruch Niran,Chief Financial Officer,S,Open-market sell,1875.0,9.8357,18441.94,D,000197640826000710
2026-08-07,2026-08-05,AUDC,AUDIOCODES LTD,Aldema Lior,EVP and Chief Business Officer,S,Open-market sell,2812.0,9.8555,27713.67,D,000197640826000709
2026-08-07,2026-08-05,SE,Sea Ltd,Ye Gang,COO,S,Open-market sell,1493.0,112.44,167872.92,D,000119312526339009
2026-08-07,2026-08-05,SE,Sea Ltd,Ye Gang,COO,S,Open-market sell,12638.0,113.44,1433654.72,D,000119312526339009
2026-08-07,2026-08-05,SE,Sea Ltd,Ye Gang,COO,S,Open-market sell,5869.0,114.31,670885.39,D,000119312526339009
2026-08-07,2026-08-05,ALH,Alliance Laundry Holdings Inc.,Nolden Dean J,CHIEF FINANCIAL OFFICER,S,Open-market sell,15400.0,28.05,431970.0,D,000162828026054553
