date,cash_$,invested_$,equity_$,open_positions,deposited_$
2023-04-11,9617.81,9543.15,19160.97,3,6000.0
2023-04-12,9617.81,9543.15,19160.97,3,6000.0
2023-04-13,9617.81,9543.15,19160.97,3,6000.0
2023-04-14,9617.81,9543.15,19160.97,3,6000.0
2023-04-15,9617.81,9543.15,19160.97,3,6000.0
2023-04-16,9617.81,9543.15,19160.97,3,6000.0
2023-04-17,13834.02,5710.24,19544.26,2,6000.0
2023-04-18,13834.02,5710.24,19544.26,2,6000.0
2023-04-19,13834.02,5710.24,19544.26,2,6000.0
2023-04-20,13834.02,5710.24,19544.26,2,6000.0
2023-04-21,13834.02,5710.24,19544.26,2,6000.0
2023-04-22,13834.02,5710.24,19544.26,2,6000.0
2023-04-23,13834.02,5710.24,19544.26,2,6000.0
2023-04-24,13484.14,5908.87,19393.01,2,6000.0
2023-04-25,5726.93,13666.08,19393.01,4,6000.0
2023-04-26,5726.93,13666.08,19393.01,4,6000.0
2023-04-27,2817.98,16575.03,19393.01,5,6000.0
2023-04-28,2817.98,16575.03,19393.01,5,6000.0
2023-04-29,2817.98,16575.03,19393.01,5,6000.0
2023-04-30,2817.98,16575.03,19393.01,5,6000.0
2023-05-01,3017.98,16575.03,19593.01,5,6200.0
2023-05-02,3017.98,16575.03,19593.01,5,6200.0
2023-05-03,3017.98,16575.03,19593.01,5,6200.0
2023-05-04,3017.98,16575.03,19593.01,5,6200.0
2023-05-05,3017.98,16575.03,19593.01,5,6200.0
2023-05-06,3017.98,16575.03,19593.01,5,6200.0
2023-05-07,3017.98,16575.03,19593.01,5,6200.0
2023-05-08,3017.98,16575.03,19593.01,5,6200.0
2023-05-09,3017.98,16575.03,19593.01,5,6200.0
2023-05-10,3017.98,16575.03,19593.01,5,6200.0
2023-05-11,3017.98,16575.03,19593.01,5,6200.0
2023-05-12,3017.98,16575.03,19593.01,5,6200.0
2023-05-13,3017.98,16575.03,19593.01,5,6200.0
2023-05-14,3017.98,16575.03,19593.01,5,6200.0
2023-05-15,3017.98,16575.03,19593.01,5,6200.0
2023-05-16,3017.98,16575.03,19593.01,5,6200.0
2023-05-17,3017.98,16575.03,19593.01,5,6200.0
2023-05-18,3017.98,16575.03,19593.01,5,6200.0
2023-05-19,3017.98,16575.03,19593.01,5,6200.0
2023-05-20,3017.98,16575.03,19593.01,5,6200.0
2023-05-21,3017.98,16575.03,19593.01,5,6200.0
2023-05-22,3017.98,16575.03,19593.01,5,6200.0
2023-05-23,3017.98,16575.03,19593.01,5,6200.0
2023-05-24,4048.95,15651.49,19700.45,5,6200.0
2023-05-25,0.0,19810.41,19810.41,6,6200.0
2023-05-26,0.0,19810.41,19810.41,6,6200.0
2023-05-27,0.0,19810.41,19810.41,6,6200.0
2023-05-28,0.0,19810.41,19810.41,6,6200.0
2023-05-29,0.0,19810.41,19810.41,6,6200.0
2023-05-30,0.0,19769.97,19769.97,6,6200.0
2023-05-31,0.0,19769.97,19769.97,6,6200.0
2023-06-01,5895.49,14817.37,20712.86,5,6400.0
2023-06-02,5895.49,14817.37,20712.86,5,6400.0
2023-06-03,5895.49,14817.37,20712.86,5,6400.0
2023-06-04,5895.49,14817.37,20712.86,5,6400.0
2023-06-05,5895.49,14817.37,20712.86,5,6400.0
