ticker,rating,entry_date,exit_date,invested_$,pnl_%,pnl_$,tp_hit,days_held
CXPO,B+,2009-12-24,2010-01-25,4629.1,-13.19,-610.58,False,32
ORCL,A,2009-12-30,2010-01-29,5446.0,-7.46,-406.27,False,30
FUN,B+,2010-01-27,2010-02-26,4559.3,-10.93,-498.33,False,30
VLY,B+,2010-01-27,2010-02-26,4559.3,6.67,304.11,False,30
TTWO,B,2010-01-28,2010-03-01,4022.91,1.07,43.05,False,32
BOH,B+,2010-01-29,2010-03-01,4490.23,-8.3,-372.69,False,31
CTFO,B+,2010-02-26,2010-03-01,4491.21,10.0,449.12,True,3
IOSP,B,2010-02-25,2010-03-22,3991.97,10.0,399.2,True,24
NWE,B+,2010-02-26,2010-03-29,4491.21,6.22,279.35,False,30
FSLR,A+,2010-02-26,2010-03-30,4931.36,15.0,739.7,True,31
NUE,B,2010-04-29,2010-06-01,4253.5,-8.72,-370.9,False,33
VPHM,A,2010-04-30,2010-06-01,5671.33,-8.74,-495.67,False,32
PLOW,B+,2010-08-26,2010-09-03,4809.31,10.0,480.93,True,8
PLXS,B+,2010-08-27,2010-09-03,4809.31,10.0,480.93,True,7
IN,B+,2010-08-26,2010-09-07,4809.31,10.0,480.93,True,12
TEL,B+,2010-08-26,2010-09-20,4809.31,10.0,480.93,True,25
BAC,B+,2010-08-23,2010-09-22,4809.31,2.68,128.89,False,30
TAP,B,2010-08-31,2010-09-30,4243.51,10.0,424.35,True,30
HEI,B+,2010-09-23,2010-10-13,5192.25,10.0,519.23,True,20
PSS,B,2010-09-27,2010-10-18,4581.4,10.0,458.14,True,21
FULT,B,2010-11-23,2010-12-09,4851.66,10.0,485.17,True,16
BGC,B+,2010-11-23,2010-12-10,5498.55,10.0,549.85,True,17
BLK,A,2010-11-29,2010-12-10,6468.88,10.0,646.89,True,11
HPQ,A,2010-11-29,2010-12-29,6468.88,-0.61,-39.46,False,30
TEL,B,2011-01-31,2011-02-11,5158.03,10.0,515.8,True,11
SGU,B,2011-02-25,2011-03-28,5265.4,0.37,19.48,False,30
AIN,B,2011-02-28,2011-03-31,5265.4,5.91,311.18,False,30
AWI,B+,2011-03-29,2011-04-06,6004.76,10.55,633.5,True,8
RUE,B+,2011-03-28,2011-04-27,6004.76,6.55,393.31,False,30
MAR,B+,2011-04-26,2011-05-26,6199.36,6.48,401.72,False,30
TDY,B,2011-06-09,2011-06-22,5649.28,10.0,564.93,True,13
BKH,B,2011-05-25,2011-06-24,5559.02,-0.76,-42.25,False,30
CWST,B+,2011-06-24,2011-06-27,6491.37,10.0,649.14,True,3
BAC,B+,2011-05-31,2011-06-30,6368.51,-7.67,-488.46,False,30
JPM,A,2011-07-25,2011-08-24,7709.04,-13.7,-1056.14,False,30
CAVM,A,2011-08-26,2011-08-29,7537.81,11.99,903.78,True,3
WHR,B,2011-08-26,2011-08-29,3015.12,10.0,301.51,True,3
SHO,A,2011-08-24,2011-08-30,7537.81,10.0,753.78,True,6
HOGS,A,2011-08-29,2011-08-31,7778.87,10.0,777.89,True,2
FSLR,A,2011-08-24,2011-09-22,7537.81,-27.03,-2037.47,False,29
AMP,B+,2011-08-24,2011-09-23,6407.14,-6.22,-398.52,False,30
TFX,B,2011-08-25,2011-09-26,5653.36,0.9,50.88,False,32
AMAT,B,2011-08-29,2011-09-28,3979.36,-4.5,-179.07,False,30
APH,B,2011-08-30,2011-09-29,5947.22,-5.84,-347.32,False,30
CPNO,B+,2011-08-30,2011-09-29,2344.37,-5.03,-117.92,False,30
LYB,A,2011-11-23,2011-11-30,7599.32,10.0,759.93,True,7
SLB,A,2011-11-23,2011-11-30,7599.32,10.0,759.93,True,7
MDU,B,2011-11-22,2011-12-01,5699.49,10.0,569.95,True,9
PERY,A+,2011-11-25,2011-12-01,3039.73,15.0,455.96,True,6
PCRX,B+,2011-11-22,2011-12-05,6459.42,10.0,645.94,True,13
RWT,A,2011-11-21,2011-12-21,7599.32,7.01,532.71,False,30
AAPL,B,2011-11-30,2011-12-30,5927.47,6.22,368.69,False,30
BSX,A,2011-11-30,2011-12-30,7903.29,-6.15,-486.05,False,30
NWE,B+,2011-11-30,2011-12-30,2887.74,4.83,139.48,False,30
